;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;;2;;;
ID;;Use Case;;Section;;Sub-Section;;Item;;;;;Quantifiable impact;;;;;Non quantifiable impact;;Zone 1 (USA);Zone 1 (USA);Zone 2;Zone 2;Zone 3;Zone 3;Zone 4;Zone 4;Zone 5;Zone 5;Zone 6;Zone 6;Zone 7;Zone 7;Zone 8;Zone 8;Zone 9;Zone 9;Zone 10;Zone 10;Filtering Area;;;;
#;Item ID;Use Case Name;Use Case Venue;ID;Name;ID;Name;Item #;Benefits Item;Reference Unit;Comments;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);UC;Use Case Name;UC Venue;Customer;Benefits Category
9;Occupancy and Notification-Parks-7.4-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #9;;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
10;Occupancy and Notification-Parks-7.4-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #10;;;;;;;;NA#;NA#;;;;;;;;;;;;;;;;;;;;;;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
11;Occupancy and Notification-Parks-7.5-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #1;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
12;Occupancy and Notification-Parks-7.5-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #2;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
13;Occupancy and Notification-Parks-7.5-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #3;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
14;Occupancy and Notification-Parks-7.5-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #4;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
15;Occupancy and Notification-Parks-7.5-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #5;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
16;Occupancy and Notification-Parks-7.5-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #6;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
17;Occupancy and Notification-Parks-7.5-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #7;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
18;Occupancy and Notification-Parks-7.5-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #8;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
19;Occupancy and Notification-Parks-7.5-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #9;;;;NA#;NA#;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
20;Occupancy and Notification-Parks-7.5-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.5;O&N - Parks - Customer - UC Revenues (Existing);Item #10;;;;;;;;;;;;;NA#;;;;;;;;;;;;;;;;;;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (Existing)
21;Occupancy and Notification-Parks-7.6-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #1;Reduction of non-staff related maintenance and repairs cost of park;Size of park in square foot;O&N-Parks-I.2.1;0%;0%;-30%;-30%;;;NA#;NA#; $0,05 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
22;Occupancy and Notification-Parks-7.6-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #2;Reduction of employees required for park operations;# of current employees FTE in charge of operations in park;O&N-Parks-I.2.2;-20%;-20%;0%;0%;;;NA#;NA#; $4 500 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
23;Occupancy and Notification-Parks-7.6-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #3;Reduction of electricty consumption of outdoor lighting in parks;# of kWh consumed each month  in park for lighting;O&N-Parks-I.2.3;-15%;-15%;0%;0%;;;NA#;NA#; $0,13 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
24;Occupancy and Notification-Parks-7.6-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #4;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
25;Occupancy and Notification-Parks-7.6-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #5;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
26;Occupancy and Notification-Parks-7.6-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #6;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
27;Occupancy and Notification-Parks-7.6-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #7;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
28;Occupancy and Notification-Parks-7.6-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #8;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
29;Occupancy and Notification-Parks-7.6-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #9;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
30;Occupancy and Notification-Parks-7.6-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.6;O&N - Parks - Customer - Cash Releasing Benefits;Item #10;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Cash Releasing Benefits
31;Occupancy and Notification-Parks-7.7-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #1;Reduction of Violent Crime -  Murders;Current # of murder(s) within and near park each month;O&N-Parks-I.3.1;-30%;-30%;0%;0%;;;NA#;NA#; $1 100 000,00 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
32;Occupancy and Notification-Parks-7.7-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #2;Reduction of Violent Crime -  Rape;Current # of rape(s) within and near park each month;O&N-Parks-I.3.2;-30%;-30%;0%;0%;;;NA#;NA#; $450,0 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
33;Occupancy and Notification-Parks-7.7-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #3;Reduction of Violent Crime -  Robbery;Current # of robberies within and near park each month;O&N-Parks-I.3.3;-30%;-30%;0%;0%;;;NA#;NA#; $1 500,0 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
34;Occupancy and Notification-Parks-7.7-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #4;Reduction of Violent Crime -  Aggravated assaults;Current # of aggravated assault(s) within and near park each month;O&N-Parks-I.3.4;-30%;-30%;0%;0%;;;NA#;NA#; $700,0 ;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
35;Occupancy and Notification-Parks-7.7-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #5;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
36;Occupancy and Notification-Parks-7.7-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #6;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
37;Occupancy and Notification-Parks-7.7-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #7;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
38;Occupancy and Notification-Parks-7.7-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #8;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
39;Occupancy and Notification-Parks-7.7-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #9;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
40;Occupancy and Notification-Parks-7.7-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.7;O&N - Parks - Customer - Wider Cash Benefits;Item #10;;;;;;;;;;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;O&N;Occupancy and Notification;Parks;Customer;Wider Cash Benefits
41;Occupancy and Notification-Parks-7.8-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #1;Community cohesion - Increase of community activities held in premises;Current # of  community activities held in premises each month;O&N-Parks-I.4.1;20%;20%;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
42;Occupancy and Notification-Parks-7.8-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #2;Community cohesion - Increase of volunteer hours held in premises;Current # of  volunteers hours spent in premises each month;O&N-Parks-I.4.1;20%;20%;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
43;Occupancy and Notification-Parks-7.8-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #3;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
44;Occupancy and Notification-Parks-7.8-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #4;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
45;Occupancy and Notification-Parks-7.8-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #5;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
46;Occupancy and Notification-Parks-7.8-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #6;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
47;Occupancy and Notification-Parks-7.8-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #7;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
48;Occupancy and Notification-Parks-7.8-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #8;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
49;Occupancy and Notification-Parks-7.8-Item #9;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #9;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
50;Occupancy and Notification-Parks-7.8-Item #10;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.8;O&N - Parks - Customer - Quantifiable, non monetizable benefits;Item #10;;;;;;NA#;NA#;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Quantifiable, non monetizable benefits
51;Occupancy and Notification-Parks-7.9-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.9;O&N - Parks - Customer - Non quantifiable benefits;Item #1;Increased in general well-being of city residents;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.1;NA#;NA#;NA#;NA#;;;5;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Non quantifiable benefits
52;Occupancy and Notification-Parks-7.9-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.9;O&N - Parks - Customer - Non quantifiable benefits;Item #2;Enhanced sense of community;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.2;NA#;NA#;NA#;NA#;;;6;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Non quantifiable benefits
53;Occupancy and Notification-Parks-7.9-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.9;O&N - Parks - Customer - Non quantifiable benefits;Item #3;Improved sense of security;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.3;NA#;NA#;NA#;NA#;;;9;90%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Non quantifiable benefits
54;Occupancy and Notification-Parks-7.9-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.9;O&N - Parks - Customer - Non quantifiable benefits;Item #4;Increased efficiency of  public policy to administer public assets;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.4;NA#;NA#;NA#;NA#;;;4;60%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Non quantifiable benefits
55;Occupancy and Notification-Parks-7.9-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.9;O&N - Parks - Customer - Non quantifiable benefits;Item #5;Improvement of citizens health due to physical activity;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.5;NA#;NA#;NA#;NA#;;;4;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Non quantifiable benefits
56;Occupancy and Notification-Parks-7.9-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.9;O&N - Parks - Customer - Non quantifiable benefits;Item #6;Enhanced user satisfaction and experience;Rate on a scale from 1-low to 10-high;O&N-Parks-I.5.6;NA#;NA#;NA#;NA#;;;5;80%;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;O&N;Occupancy and Notification;Parks;Customer;Non quantifiable benefits
