;;;;;;Quantifiable impact;;;;;;NQB;;;
ID;Domain;Solution;Solution Abb;Use Case;Benefits Category;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($)
366;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Event, Cultural & Sports Facilities;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
426;NTT Accelerate Smart Solutions;Missing Person;MP;Retail / Malls / Small shops;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
486;NTT Accelerate Smart Solutions;Missing Person;MP;Public Areas/Plazas;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
546;NTT Accelerate Smart Solutions;Missing Person;MP;Parks;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
606;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
666;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
726;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
786;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
846;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Areas/Plazas;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
906;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
966;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
1026;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
1086;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Areas/Plazas;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
1;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;3,00
62;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Offices;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;4,00
1027;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;7,00
1087;NTT Accelerate Smart Solutions;Traffic – Origination and Destination;O-D;Public Areas/Plazas;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;7,00
2;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;7,00
607;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;10,00
667;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;10,00
3;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;UC Revenues (New);NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;34,00
123;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Factory/Manufact.;UC Revenues (New) ;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;4,00
763;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;0%;0%;-4%;-4%;NA#;NA#;NA#;NA#;0,21;NA#
823;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;0%;0%;-4%;-4%;NA#;NA#;NA#;NA#;0,21;NA#
760;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;0%;0%;-7%;-7%;NA#;NA#;NA#;NA#;11 000,00;NA#
820;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;0%;0%;-7%;-7%;NA#;NA#;NA#;NA#;11 000,00;NA#
759;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;0%;0%;-11%;-11%;NA#;NA#;NA#;NA#;19 800,00;NA#
819;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;0%;0%;-11%;-11%;NA#;NA#;NA#;NA#;19 800,00;NA#
762;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;0%;0%;-15%;-15%;NA#;NA#;NA#;NA#;95,00;NA#
822;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;0%;0%;-15%;-15%;NA#;NA#;NA#;NA#;95,00;NA#
758;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;0%;0%;-15%;-15%;NA#;NA#;NA#;NA#;12 000,00;NA#
818;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;0%;0%;-15%;-15%;NA#;NA#;NA#;NA#;12 000,00;NA#
757;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;0%;0%;-15%;-15%;NA#;NA#;NA#;NA#;24 300,00;NA#
817;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;0%;0%;-15%;-15%;NA#;NA#;NA#;NA#;24 300,00;NA#
876;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Areas/Plazas;Wider Cash Benefits;0%;0%;-25%;-25%;NA#;NA#;NA#;NA#;30,00;NA#
936;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;0%;0%;-25%;-25%;NA#;NA#;NA#;NA#;122,00;NA#
996;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;0%;0%;-25%;-25%;NA#;NA#;NA#;NA#;122,00;NA#
761;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;0%;0%;-32%;-32%;NA#;NA#;NA#;NA#;27 000,00;NA#
821;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;0%;0%;-32%;-32%;NA#;NA#;NA#;NA#;27 000,00;NA#
756;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;-3%;-3%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
816;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;-3%;-3%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1176;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Airports;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1236;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Parks;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1296;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Retail / Malls / Small shops;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1356;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Event, Cultural & Sports Facilities;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1416;NTT Accelerate Smart Solutions;Health Check – Thermal Scan;HCTS;Offices;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1476;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Airports;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1536;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Parks;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1596;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Retail / Malls / Small shops;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1656;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Event, Cultural & Sports Facilities;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1716;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Factory/Manufact.;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1776;NTT Accelerate Smart Solutions;Boundary Compliance;BC;Offices;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1836;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Offices;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1896;NTT Accelerate Smart Solutions;Plant Safety (Manufacturing);PS;Factory/Manufact.;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
1956;NTT Accelerate Smart Solutions;Back to Work Package;BW;Factory/Manufact.;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
2016;NTT Accelerate Smart Solutions;Back to Work Package;BW;Retail / Malls / Small shops;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
2076;NTT Accelerate Smart Solutions;Back to Work Package;BW;Event, Cultural & Sports Facilities;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
2136;NTT Accelerate Smart Solutions;Back to Work Package;BW;Offices;Wider Cash Benefits;-5%;-20%;0%;0%;NA#;NA#;NA#;NA#;9 200 000,00;NA#
637;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;3 372,00;NA#
697;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;3 372,00;NA#
938;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;3 372,00;NA#
998;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;3 372,00;NA#
636;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;4 850,00;NA#
696;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;4 850,00;NA#
937;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;4 850,00;NA#
997;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;4 850,00;NA#
638;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;21 123,00;NA#
698;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;21 123,00;NA#
939;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;21 123,00;NA#
999;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;21 123,00;NA#
639;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;66 109,00;NA#
699;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;66 109,00;NA#
940;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;66 109,00;NA#
1000;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;66 109,00;NA#
640;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;215 765,00;NA#
700;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;215 765,00;NA#
941;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;215 765,00;NA#
1001;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;215 765,00;NA#
641;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;468 005,00;NA#
701;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;468 005,00;NA#
942;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;468 005,00;NA#
1002;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;468 005,00;NA#
642;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 187 292,00;NA#
702;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 187 292,00;NA#
943;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 187 292,00;NA#
1003;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 187 292,00;NA#
643;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 659 114,00;NA#
703;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 659 114,00;NA#
944;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 659 114,00;NA#
1004;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 659 114,00;NA#
644;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 846 796,00;NA#
704;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 846 796,00;NA#
945;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 846 796,00;NA#
1005;NTT Accelerate Smart Solutions;Traffic – Vehicle of Interest;TVI;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;1 846 796,00;NA#
645;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Public Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;9 188 039,00;NA#
705;NTT Accelerate Smart Solutions;Wrong Direction;WWD;Private Roads;Wider Cash Benefits;-10%;-10%;0%;0%;NA#;NA#;NA#;NA#;9 188 039,00;NA#
764;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Public Roads;Wider Cash Benefits;-15%;-15%;0%;0%;NA#;NA#;NA#;NA#;10 137 500,00;NA#
824;NTT Accelerate Smart Solutions;Traffic – Vehicle Count;TVC;Private Roads;Wider Cash Benefits;-15%;-15%;0%;0%;NA#;NA#;NA#;NA#;10 137 500,00;NA#
32;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;450,00;NA#
276;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;450,00;NA#
517;NTT Accelerate Smart Solutions;Missing Person;MP;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;450,00;NA#
577;NTT Accelerate Smart Solutions;Missing Person;MP;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;450,00;NA#
34;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;700,00;NA#
278;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;700,00;NA#
519;NTT Accelerate Smart Solutions;Missing Person;MP;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;700,00;NA#
579;NTT Accelerate Smart Solutions;Missing Person;MP;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;700,00;NA#
33;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 500,00;NA#
277;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 500,00;NA#
518;NTT Accelerate Smart Solutions;Missing Person;MP;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 500,00;NA#
578;NTT Accelerate Smart Solutions;Missing Person;MP;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 500,00;NA#
31;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 100 000,00;NA#
275;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 100 000,00;NA#
516;NTT Accelerate Smart Solutions;Missing Person;MP;Public Areas/Plazas;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 100 000,00;NA#
576;NTT Accelerate Smart Solutions;Missing Person;MP;Parks;Wider Cash Benefits;-30%;-30%;0%;0%;NA#;NA#;NA#;NA#;1 100 000,00;NA#
