;;;;;;Quantifiable impact;;;;;;NQB;;;
ID;Domain;Solution;Solution Abb;Use Case;Benefits Category;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($)
51;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;5;0,8;NA#;NA#
52;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,8;NA#;NA#
53;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,9;NA#;NA#
54;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,6;NA#;NA#
55;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,8;NA#;NA#
56;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Parks;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;5;0,8;NA#;NA#
112;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,8;NA#;NA#
113;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,8;NA#;NA#
114;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Offices;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,9;NA#;NA#
173;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,8;NA#;NA#
174;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,8;NA#;NA#
175;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Factory/Manufact.;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;4;0,9;NA#;NA#
234;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Retail / Malls / Small shops;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,8;NA#;NA#
295;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;5;0,8;NA#;NA#
296;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;6;0,8;NA#;NA#
297;NTT Accelerate Smart Solutions;Occupancy and Notification;O&N;Public Areas/Plazas;Non quantifiable benefits;NA#;NA#;NA#;NA#;NA#;NA#;9;0,9;NA#;NA#
