;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
ID;;Section;;Sub-Section;;Category;;Item;;;;ASU;;ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 10;ZONE 10
#;Item ID;ID;Name;ID;Name;ID;Name;#;Name;Ref Unit;Comments;ASU min;ASU max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max;Cost/unit min;Cost/unit max
48;Metrics-3.1-Item #16;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Edge Compute & Storage;Item #16;1xPowerEdge Services - L;#Units;"1xDELL NETWORK SWITCH - EMC SELECT
1xVXRAIL500 V570 HYBRID + V570F ALL FLASH
4xVXRAIL500 V570 HYBRID + V570F ALL FLASH
Including 3y maintenance";1100;2000;$650 000;$650 000;;;;;;;;;;;;;;;;;;
49;Metrics-3.1-Item #17;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Edge Compute & Storage;Item #17;Short-term retention storage - S;#Units;1xUDS, ISILON GEN 6, A2000 Including 5y maintenance;1;399;$290 000;$290 000;;;;;;;;;;;;;;;;;;
42;Metrics-3.1-Item #18;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Edge Compute & Storage;Item #18;Short-term retention storage - M;#Units;1xUDS, ISILON GEN 6, A2000 Including 5y maintenance;400;1099;$1 050 000;$1 050 000;;;;;;;;;;;;;;;;;;
43;Metrics-3.1-Item #19;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Edge Compute & Storage;Item #19;Short-term retention storage - L;#Units;1xUDS, ISILON GEN 6, A2000 Including 5y maintenance;1100;2000;$2 050 000;$2 050 000;;;;;;;;;;;;;;;;;;
44;Metrics-3.1-Item #20;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #20;Network infrastructure - XS;#Units;;1;49;$0;$0;;;;;;;;;;;;;;;;;;
45;Metrics-3.1-Item #21;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #21;Network infrastructure - S;#Units;;50;399;$0;$0;;;;;;;;;;;;;;;;;;
46;Metrics-3.1-Item #22;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #22;Network infrastructure - M;#Units;;400;1099;$0;$0;;;;;;;;;;;;;;;;;;
47;Metrics-3.1-Item #23;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #23;Network infrastructure - L;#Units;;1100;2000;$0;$0;;;;;;;;;;;;;;;;;;
48;Metrics-3.1-Item #24;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #24;Power - XS;#Units;;1;49;$0;$0;;;;;;;;;;;;;;;;;;
49;Metrics-3.1-Item #25;3.;Metrics Influenced items - NTT;3.1;Metrics Influenced items - NTT - Once purchased;NA#;Metrics Influenced items - NTT - Once purchased, Future;Item #25;Power - S;#Units;;50;399;$0;$0;;;;;;;;;;;;;;;;;;
