1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;;;
ID;;Section;;Sub-Section;;Smart Usecase Range Values;;;;;ZONE 1 (USA);ZONE 1 (USA);ZONE 1 (USA);ZONE 2;ZONE 2;ZONE 2;ZONE 3;ZONE 3;ZONE 3;ZONE 4;ZONE 4;ZONE 4;ZONE 5;ZONE 5;ZONE 5;ZONE 6;ZONE 6;ZONE 6;ZONE 7;ZONE 7;ZONE 7;ZONE 8;ZONE 8;ZONE 8;ZONE 9;ZONE 9;ZONE 9;ZONE 10;ZONE 10;ZONE 10;;;
#;Item ID;ID;Name;ID;Name;ASU Range Min;ASU Range Max;Base;EPU;M/O;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;Deployment Min;Deployment Max;Paas;;Name;Name
170;WWD-4.2.1-Item #6;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;404;300;3;12;Small;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;NA#;NA#;$63 558;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
171;WWD-4.2.1-Item #7;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;430;350;4;14;Small;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;NA#;NA#;$75 756;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
172;WWD-4.2.1-Item #8;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;456;400;4;16;Small;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;NA#;NA#;$80 464;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
173;WWD-4.2.1-Item #9;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;482;450;5;18;Medium;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;NA#;NA#;$122 622;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
174;WWD-4.2.1-Item #10;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;508;500;5;20;Medium;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;NA#;NA#;$127 330;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
175;WWD-4.2.1-Item #11;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;534;550;6;22;Medium;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;NA#;NA#;$139 528;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
176;WWD-4.2.1-Item #12;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;560;600;6;24;Medium;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;NA#;NA#;$144 236;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
177;WWD-4.2.1-Item #13;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;586;650;7;26;Medium;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;NA#;NA#;$156 434;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
178;WWD-4.2.1-Item #14;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;612;700;7;28;Medium;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;NA#;NA#;$161 142;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
179;WWD-4.2.1-Item #15;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;638;750;8;30;Medium;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;NA#;NA#;$173 340;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
180;WWD-4.2.1-Item #16;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;664;800;8;32;Medium;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;NA#;NA#;$178 048;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
181;WWD-4.2.1-Item #17;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;690;850;9;34;Medium;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;NA#;NA#;$190 246;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
182;WWD-4.2.1-Item #18;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;716;900;9;36;Medium;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;NA#;NA#;$194 954;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
183;WWD-4.2.1-Item #19;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;742;950;10;38;Medium;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;NA#;NA#;$207 152;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
184;WWD-4.2.1-Item #20;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;768;1000;10;40;Medium;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;NA#;NA#;$211 860;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
185;WWD-4.2.1-Item #21;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;794;1050;11;42;Medium;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;NA#;NA#;$224 058;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
186;WWD-4.2.1-Item #22;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;820;1100;11;44;Medium;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;NA#;NA#;$228 766;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
187;WWD-4.2.1-Item #23;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;846;1150;12;46;Large;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;NA#;NA#;$251 664;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
188;WWD-4.2.1-Item #24;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;872;1200;12;48;Large;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;NA#;NA#;$256 372;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
189;WWD-4.2.1-Item #25;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;898;1250;13;50;Large;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;NA#;NA#;$268 570;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
190;WWD-4.2.1-Item #26;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;924;1300;13;52;Large;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;NA#;NA#;$273 278;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
191;WWD-4.2.1-Item #27;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;950;1350;14;54;Large;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;NA#;NA#;$285 476;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
192;WWD-4.2.1-Item #28;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;976;1400;14;56;Large;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;NA#;NA#;$290 184;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
193;WWD-4.2.1-Item #29;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1002;1450;15;58;Large;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;NA#;NA#;$302 382;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
194;WWD-4.2.1-Item #30;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1028;1500;15;60;Large;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;NA#;NA#;$307 090;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
195;WWD-4.2.1-Item #31;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1054;1550;16;62;Large;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;NA#;NA#;$319 288;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
196;WWD-4.2.1-Item #32;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1080;1600;16;64;Large;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;NA#;NA#;$323 996;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
197;WWD-4.2.1-Item #33;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1106;1650;17;66;Large;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;NA#;NA#;$336 194;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
198;WWD-4.2.1-Item #34;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1132;1700;17;68;Large;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;NA#;NA#;$340 902;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
199;WWD-4.2.1-Item #35;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1158;1750;18;70;Large;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;NA#;NA#;$353 100;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
200;WWD-4.2.1-Item #36;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1184;1800;18;72;Large;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;NA#;NA#;$357 808;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
201;WWD-4.2.1-Item #37;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1210;1850;19;74;Large;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;NA#;NA#;$370 006;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
202;WWD-4.2.1-Item #38;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1236;1900;19;76;Large;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;NA#;NA#;$374 714;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
203;WWD-4.2.1-Item #39;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1262;1950;20;78;Large;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;NA#;NA#;$386 912;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
204;WWD-4.2.1-Item #40;4.;WWD - NTT;4.1; Wrong Direction - NTT Accelerate SMART - PaaS ;1288;2000;20;80;Large;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;NA#;NA#;$391 620;;WWD - NTT; Wrong Direction - NTT Accelerate SMART - PaaS 
205;TVC-4.2.1-Item #1;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1;50;1;2;-;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;$55 890;$89 910;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
206;TVC-4.2.1-Item #2;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;51;100;1;2;Small;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;$119 815;$153 835;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
207;TVC-4.2.1-Item #3;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;101;200;1;4;Small;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;$162 340;$238 885;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
208;TVC-4.2.1-Item #4;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;201;300;2;6;Small;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;$247 390;$323 935;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
209;TVC-4.2.1-Item #5;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;301;400;2;8;Small;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;$332 440;$408 985;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
210;TVC-4.2.1-Item #6;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;401;500;3;10;Medium;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;$460 290;$536 835;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
211;TVC-4.2.1-Item #7;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;501;600;3;12;Medium;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;$545 340;$621 885;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
212;TVC-4.2.1-Item #8;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;601;700;4;14;Medium;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;$630 390;$706 935;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
213;TVC-4.2.1-Item #9;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;701;800;4;16;Medium;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;$715 440;$791 985;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
214;TVC-4.2.1-Item #10;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;801;900;5;18;Medium;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;$800 490;$877 035;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
215;TVC-4.2.1-Item #11;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;901;1000;5;20;Medium;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;$885 540;$962 085;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
216;TVC-4.2.1-Item #12;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1001;1100;6;22;Medium;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;$970 590;$1 047 135;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
217;TVC-4.2.1-Item #13;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1101;1200;6;24;Large;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;$1 098 440;$1 174 985;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
218;TVC-4.2.1-Item #14;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1201;1300;7;26;Large;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;$1 183 490;$1 260 035;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
219;TVC-4.2.1-Item #15;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1301;1400;7;28;Large;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;$1 268 540;$1 345 085;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
220;TVC-4.2.1-Item #16;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1401;1500;8;30;Large;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;$1 353 590;$1 430 135;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
221;TVC-4.2.1-Item #17;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1501;1600;8;32;Large;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;$1 438 640;$1 515 185;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
222;TVC-4.2.1-Item #18;4.;TVC - NTT;4.1;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up;1601;1700;9;34;Large;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;$1 523 690;$1 600 235;NA#;;TVC - NTT;Traffic – Vehicle Count - NTT Accelerate SMART - Deployment & set-up
